32
0	1391	1454	1963	1766	1711	1230	1644	1611	2034	1325	1968	1092	1702	1856	1066	1033	1474	1383	1751	1185	1847	2035	1370	1420	1708	1985	2040	1889	1761	1218	1768
1391	0	1348	1878	1409	1369	1284	1321	1079	1260	1141	1131	1148	1227	1747	1488	1535	1133	1329	1965	1564	1914	1573	1514	1526	1687	1448	1419	1695	1393	1335	1394
1454	1348	0	2037	1709	1615	1368	1146	1972	1128	1771	1574	1463	1308	1434	1583	2045	1195	1064	1490	1841	1628	1109	1767	1723	1789	1752	2031	1232	1792	1135	1555
1963	1878	2037	0	1936	2039	1495	1618	1468	1639	1494	1563	1279	1460	1733	1641	1427	1235	1567	1226	1594	1188	1375	2043	1261	1095	1941	1276	1142	1090	1787	1571
1766	1409	1709	1936	0	1864	1216	1493	1591	1437	1783	1712	1102	1784	1406	2009	1191	2008	1862	1831	1374	1546	1285	1803	1238	1252	1812	1598	1858	1629	1400	2018
1711	1369	1615	2039	1864	0	1569	1030	1880	1533	1522	1237	1832	1524	1696	1956	1060	1517	1961	1834	1111	1207	1652	1194	1119	1492	1138	1358	1830	1081	1357	1919
1230	1284	1368	1495	1216	1569	0	1975	2023	1044	1116	2006	1931	1558	1665	1513	1332	1986	1924	1746	1672	1686	1046	1397	1303	1892	1219	1171	1964	1799	1351	1310
1644	1321	1146	1618	1493	1030	1975	0	1726	2042	1657	1775	2036	1101	1557	1223	1814	1843	1568	2019	1680	1108	1106	1613	1282	1099	1151	1528	1416	1625	2026	1796
1611	1079	1972	1468	1591	1880	2023	1726	0	1203	2024	1253	1083	1446	1442	1143	1051	1073	1715	1251	1479	1827	1597	1258	1556	1619	1534	1045	1500	1947	1072	1966
2034	1260	1128	1639	1437	1533	1044	2042	1203	0	1529	1913	1668	1278	1026	1426	1404	1932	1396	1084	1588	1113	1130	1754	1271	1247	1497	1581	1674	1115	1205	1093
1325	1141	1771	1494	1783	1522	1116	1657	2024	1529	0	1531	1433	1170	1118	1440	1175	1977	1896	1788	1055	1540	1753	1288	1757	2020	1129	1900	1359	1743	1980	1272
1968	1131	1574	1563	1712	1237	2006	1775	1253	1913	1531	0	1417	1152	1937	1722	1645	1604	1997	1646	1587	1371	1190	1570	1808	1938	1663	1780	1740	1183	1372	1741
1092	1148	1463	1279	1102	1832	1931	2036	1083	1668	1433	1417	0	1421	1062	1969	1509	1561	1962	1214	1671	1354	1311	1699	1844	1626	1621	1314	1543	1158	1053	1940
1702	1227	1308	1460	1784	1524	1558	1101	1446	1278	1170	1152	1421	0	1734	1343	1871	1428	1606	1047	1953	1408	1536	1177	1353	1362	1507	1907	1774	1299	1875	1137
1856	1747	1434	1733	1406	1696	1665	1557	1442	1026	1118	1937	1062	1734	0	1575	1224	1773	1530	1168	1974	1327	2003	1443	1264	2038	1616	1447	1204	1821	1793	1935
1066	1488	1583	1641	2009	1956	1513	1223	1143	1426	1440	1722	1969	1343	1575	0	1762	1318	1295	1376	1103	1056	1991	1983	1198	1516	1413	1673	1134	1387	2047	1756
1033	1535	2045	1427	1191	1060	1332	1814	1051	1404	1175	1645	1509	1871	1224	1762	0	1683	1835	1485	1309	1153	1096	1139	1470	1085	1578	1719	1360	1954	1958	2012
1474	1133	1195	1235	2008	1517	1986	1843	1073	1932	1977	1604	1561	1428	1773	1318	1683	0	1548	1660	2000	2001	1707	1667	1200	1642	1373	1222	2007	1165	1499	1412
1383	1329	1064	1567	1862	1961	1924	1568	1715	1396	1896	1997	1962	1606	1530	1295	1835	1548	0	1717	1867	1617	1069	1267	1104	1884	1622	1067	1333	1032	1731	1298
1751	1965	1490	1226	1831	1834	1746	2019	1251	1084	1788	1646	1214	1047	1168	1376	1485	1660	1717	0	1658	1600	1280	1894	1178	1248	1339	1607	1701	1759	1337	1300
