24
0	1088	886	683	866	639	980	764	796	965	946	757	996	918	1117	719	910	709	1073	716	877	591	730	1133
1088	0	854	804	772	781	610	1135	907	627	769	817	645	1066	686	959	857	942	797	1000	934	893	1034	1026
886	854	0	900	679	626	755	759	1105	810	779	1006	880	905	1040	1023	1039	1052	671	1043	752	999	963	599
683	804	900	0	692	647	913	1106	794	588	1142	655	820	975	640	707	1113	990	812	998	630	825	714	853
866	772	679	692	0	844	972	1144	1037	1001	887	896	843	1063	663	985	1098	687	940	708	1053	891	1090	1025
639	781	626	647	844	0	1069	593	741	1081	765	833	676	1062	1013	1101	753	1095	656	802	826	881	1129	1035
980	610	755	913	972	1069	0	855	924	589	602	874	845	737	642	1151	1119	696	673	867	744	695	851	605
764	1135	759	1106	1144	593	855	0	738	1087	943	576	892	931	653	1027	1107	831	1012	1022	1114	1115	956	835
796	907	1105	794	1037	741	924	738	0	945	809	746	633	601	852	1143	849	902	872	984	932	682	587	1050
965	627	810	588	1001	1081	589	1087	945	0	1152	658	897	611	870	1038	837	997	732	850	669	863	846	1015
946	769	779	1142	887	765	602	943	809	1152	0	597	706	977	641	674	895	1075	914	780	1061	681	1102	782
757	817	1006	655	896	833	874	576	746	658	597	0	1146	770	948	952	1126	1138	643	801	822	790	884	722
996	645	880	820	843	676	845	892	633	897	706	1146	0	992	944	661	1057	1041	842	1094	987	618	1008	839
918	1066	905	975	1063	1062	737	931	601	611	977	770	992	0	1093	783	933	578	749	1112	1149	606	699	736
1117	686	1040	640	663	1013	642	653	852	870	641	948	944	1093	0	1122	712	675	792	923	747	978	1054	735
719	959	1023	707	985	1101	1151	1027	1143	1038	674	952	661	783	1122	0	1123	915	1080	885	1028	711	634	595
910	857	1039	1113	1098	753	1119	1107	849	837	895	1126	1057	933	712	1123	0	921	868	777	603	974	1078	608
709	942	1052	990	687	1095	696	831	902	997	1075	1138	1041	578	675	915	921	0	1007	1147	700	1033	994	1092
1073	797	671	812	940	656	673	1012	872	732	914	643	842	749	792	1080	868	1007	0	1082	628	580	720	1030
716	1000	1043	998	708	802	867	1022	984	850	780	801	1094	1112	923	885	777	1147	1082	0	1137	594	632	776
877	934	752	630	1053	826	744	1114	932	669	1061	822	987	1149	747	1028	603	700	628	1137	0	577	865	637
591	893	999	825	891	881	695	1115	682	863	681	790	618	606	978	711	974	1033	580	594	577	0	583	970
730	1034	963	714	1090	1129	851	956	587	846	1102	884	1008	699	1054	634	1078	994	720	632	865	583	0	1096
1133	1026	599	853	1025	1035	605	835	1050	1015	782	722	839	736	735	595	608	1092	1030	776	637	970	1096	0
