A B C
0.5790687745345248 0.162358453064573 0.2585727724009022
0.28188706536309577 0.22937563559624496 0.4887372990406593
0.10588932476044864 0.48653047594479143 0.40758019929476
0.29352979777230087 0.23596318040796999 0.4705070218197292
0.10658148202874167 0.49331189719355717 0.40010662077770115
0.11592093836425665 0.46627548276942243 0.417803578866321
0.07300317749928698 0.23601899687141634 0.6909778256292967
0.06085282234228997 0.2036902216308323 0.7354569560268778
0.05931762588176054 0.20224348135364945 0.73843889276459
0.06120249030947847 0.22503833403716386 0.7137591756533577
